source_id,name,source_type,market,discipline_focus,tier,website_url,opencalls_url,instagram_url,scrape_method,status,needs_verification,notes
src_072,Negev Museum of Art,Institution,beer_sheva,"painting,sculpture",2,https://negev-museum.org.il/?lang=en,,,,active,FALSE,"Verified 2026-09-18 by direct fetch. Only major art museum in southern Israel (housed in Ottoman-era building, old city Be'er Sheva). Confirmed live programming: current exhibitions through 2026-12-26, plus Sukkot creative workshops + guided tours + puppet show on 2026-09-28. Confirms Be'er Sheva as a market with real, currently-active art/culture institution."
src_073,Herzliya Museum of Contemporary Art,Institution,herzliya,"painting,sculpture,interdisciplinary",2,https://www.herzliyamuseum.co.il/en/,,,,active,TRUE,"Verified 2026-09-18 by direct fetch. IMPORTANT CAVEAT: the museum's main exhibition space is currently closed for renovation/accessibility works per its own homepage ('currently closed for renovation, renewal, and accessibility improvements'). Its education arm 'Muza' continues running courses/workshops for children, youth and adults (phone 09-9500762) -- that program, not the exhibition space, is the currently-active piece. The Herzliya Biennial (2007/2009/2011) ended after 2011 and is NOT currently active -- do not cite it as a recurring event. Confirms Herzliya only via the Muza education program, not the museum's exhibitions."
src_074,Design Museum Holon,Institution,holon,interdisciplinary,2,https://www.dmh.org.il/en/,https://www.dmh.org.il/en/exhibition_cat/current/,,,active,FALSE,"Verified 2026-09-18. Real, actively operating design museum (Ron Arad-designed building). Current large-scale exhibition 'The Circle - Designing New Realities' runs through May 2027. NOTE: 'design' is not itself a controlled discipline vocab value (only sound/music/performance/dance/painting/sculpture) -- tagged interdisciplinary as the closest fit; flagging as a possible future vocab gap, not proposing action here (out of scope of this research pass)."
src_075,Acco Festival of Alternative Israeli Theatre (Municipality of Akko),Festival,akko,"performance,dance,interdisciplinary",2,https://www.accofestival.co.il/index.php?language=eng,,,,active,TRUE,"Verified via akko.org.il, accofestival.co.il, Wikipedia, and Times of Israel 2026-09-18. Long-running (est. 1980), city-produced 4-day festival held during Sukkot intermediate days in the Old City citadel -- covers street theatre, dance, avant-garde performance, concerts and workshops. NEEDS VERIFICATION: exact 2026 dates not confirmed on the official page in this session; Sukkot 2026 runs 2026-09-25 to 2026-10-02, so the festival's intermediate days would fall approximately 2026-09-27 to 2026-10-01 -- confirm on accofestival.co.il before publishing an exact date."
src_076,Red Sea Jazz Festival,Festival,eilat,music,2,https://redseajazz.co.il/,,https://www.instagram.com/redseajazzfestival/,,active,FALSE,"Verified 2026-09-18 via redseajazz.co.il, Wikipedia, Carnifest. Long-running (est. 1987) outdoor jazz festival at Eilat port; 2026 edition (40th) confirmed 2026-11-11 to 2026-11-14, includes 6 workshops with guest artists in addition to nightly concerts. Confirms Eilat as a market with real, currently-active, dated cultural event."
src_077,Ramat Gan Museum of Israeli Art,Institution,ramat_gan,"painting,sculpture",2,https://www.rgma.org.il/,,,,active,FALSE,"Verified 2026-09-18. Only museum dedicated specifically to contemporary Israeli art; reopened 2021 after renovation. Website confirms an ongoing program of lectures, children's shows, art classes, workshops and tours alongside 5 concurrent exhibition halls. Confirms Ramat Gan as a market with real, currently-active institution."
src_078,Heichal HaTarbut Rishon LeZion (Rishon LeZion Cultural Hall),Institution,rishon_lezion,"performance,dance,music",2,https://rishonfoundation.org/en/culture-and-sports/,,,,active,TRUE,"Verified 2026-09-18 via Rishon LeZion Foundation and Time Out Israel. City's largest cultural venue/auditorium; hosts theatre, music and dance performances, the International Spring Festival, and holds regular dance/theatre classes. NEEDS VERIFICATION: could not confirm the exact 2026/27 International Spring Festival dates or current class schedule directly on the venue's own site in this session."
src_079,Municipal Art Gallery Rishon LeZion,Institution,rishon_lezion,"painting,sculpture",2,https://aicf.org/artist/municipal-art-gallery-rishon-lezion/,,,,active,TRUE,"Found 2026-09-18 via AICF (Artists in Contemporary Fine Arts). Described as 'a landmark of contemporary Israeli art in the urban space' with several exhibitions opening simultaneously every 3 months. NEEDS VERIFICATION: no direct municipal website confirmed in this session -- recheck rishonfoundation.org or the Rishon LeZion municipality site for the gallery's own URL/current show before publishing."
src_080,Mahmoud Darwish Cultural Center (Nazareth),Institution,nazareth,"performance,dance,interdisciplinary",2,https://www.nazareth360.com/enjoy/mahmoud-darwish-cultural-center,,,,active,TRUE,"Verified 2026-09-18 via Nazareth360 (independent Nazareth tourism site) -- NOT to be confused with the separate Mahmoud Darwish Foundation & Museum in Ramallah, Palestine (different institution, different country). Real 280-seat theatre hall in Nazareth (address/phone confirmed: +972-4-6571672), hosts the named recurring 'Nazareth Festival of Contemporary Dance' plus theatre plays, concerts and films. NEEDS VERIFICATION: could not confirm current-year festival dates or an official municipal/venue website (visitnazareth.co.il link for this venue 404'd) -- this is the weakest-evidenced city in this batch; recheck before treating Nazareth as fully confirmed."
src_081,Beit HaGefen Arab-Jewish Culture Center,Institution,haifa,"performance,painting,interdisciplinary",2,https://www.beit-hagefen.com/?lang=2,,,,active,FALSE,"Verified 2026-09-18. Real, long-running (est. 1963) Haifa institution combining a contemporary art gallery, a theatre, a library and dialogue programming. Runs a recurring 'Arab Theater Month' each summer and the annual 'Holiday of Holidays' festival (Ramadan/Christmas/Hanukkah) each December, plus regular workshops and exhibitions."
