source_id,name,source_type,market,discipline_focus,tier,website_url,opencalls_url,instagram_url,scrape_method,status,needs_verification,notes
src_001,HAU Hebbel am Ufer,Institution,berlin,interdisciplinary,2,https://www.hebbel-am-ufer.de,,https://instagram.com/hebbelamufer,,active,FALSE,
src_002,Uferstudios Berlin,Institution,berlin,dance,2,https://www.uferstudios.com,,https://instagram.com/uferstudios,,active,FALSE,
src_003,CTM Festival & Workspace,Institution,berlin,"sound,live_electronics",2,https://www.ctm-festival.de,,https://instagram.com/ctmfestival,,active,FALSE,
src_004,Radialsystem V,Institution,berlin,interdisciplinary,2,https://radialsystem.de,,https://instagram.com/radialsystem_berlin,,active,FALSE,
src_005,Tanzfabrik Berlin,Institution,berlin,dance,2,https://www.tanzfabrik-berlin.de,,https://instagram.com/tanzfabrikberlin,,active,FALSE,
src_006,Musicboard Berlin,Institution,berlin,"sound,live_electronics",2,https://www.musicboard-berlin.de,,https://instagram.com/musicboardberlin,,active,FALSE,
src_007,Sophiensæle,Institution,berlin,interdisciplinary,2,https://sophiensaele.com,,https://instagram.com/sophiensaele,,active,FALSE,
src_008,Kulturrådet (Swedish Arts Council),Institution,stockholm,interdisciplinary,2,,,,,active,TRUE,
src_009,Dansens Hus Stockholm,Institution,stockholm,dance,2,https://dansenshus.se,,https://instagram.com/dansenshusstockholm,,active,FALSE,
src_010,EMS Elektronmusikstudion,Institution,stockholm,"sound,live_electronics",2,https://elektronmusikstudion.se,,,,active,FALSE,
src_011,MDT Moderna Dansteatern,Institution,stockholm,dance,2,https://mdtsthlm.se,,https://instagram.com/mdtsthlm,,active,FALSE,
src_012,Onassis Stegi,Institution,athens,interdisciplinary,2,https://www.onassis.org/onassis-stegi,,https://instagram.com/onassis.stegi,,active,FALSE,
src_013,Romantso Cultural Hub,Institution,athens,"sound,live_electronics",2,https://romantso.gr,,https://instagram.com/romantsoathens,,active,FALSE,
src_014,The Saison Foundation / Morishita Studio,Institution,tokyo,dance,2,https://www.saison.or.jp,,,,active,FALSE,
src_015,Tokyo Arts and Space (TOKAS),Institution,tokyo,interdisciplinary,2,https://www.tokyoartsandspace.jp,,https://instagram.com/tokas_tokyo,,active,FALSE,
src_016,Seoul Dance Center,Institution,seoul,dance,2,https://www.sfac.or.kr,,,,active,FALSE,
src_017,ARKO (Arts Council Korea),Institution,seoul,interdisciplinary,2,https://www.arko.or.kr,,https://instagram.com/arko_korea,,active,FALSE,
src_018,Cricoteka Centre for the Documentation of Art,Institution,krakow,interdisciplinary,2,https://cricoteka.pl,,https://instagram.com/cricoteka,,active,FALSE,
src_019,Bimhuis & Muziekgebouw aan 't IJ,Institution,amsterdam,"sound,live_electronics",2,https://www.bimhuis.nl,,https://instagram.com/bimhuis,,active,FALSE,
src_020,Dansmakers / ICK Dans Amsterdam,Institution,amsterdam,dance,2,https://www.ickamsterdam.com,,https://instagram.com/ickdansamsterdam,,active,FALSE,
src_021,Stimuleringsfonds Creatieve Industrie,Institution,amsterdam,interdisciplinary,2,https://www.stimuleringsfonds.nl,,,,active,FALSE,
src_022,Centre National de la Danse (CND Pantin),Institution,paris,dance,2,https://www.cnd.fr,,https://instagram.com/cndcameraspresse,,active,FALSE,
src_023,IRCAM (Institut de Recherche et Coordination Acoustique/Musique),Institution,paris,"sound,live_electronics",2,https://www.ircam.fr,,https://instagram.com/ircam_paris,,active,FALSE,
src_024,Dansehallerne,Institution,copenhagen,dance,2,https://dansehallerne.dk,,https://instagram.com/dansehallerne,,active,FALSE,
src_025,Alice cph,Institution,copenhagen,"sound,live_electronics",2,https://alicecph.com,,https://instagram.com/alicecph,,active,FALSE,
src_026,Mercat de les Flors,Institution,barcelona,dance,2,https://mercatflors.cat,,https://instagram.com/mercatflors,,active,FALSE,
src_027,Hangar Barcelona,Institution,barcelona,interdisciplinary,2,https://hangar.org,,https://instagram.com/hangar_org,,active,FALSE,
src_028,Dansens Hus Oslo,Institution,oslo,dance,2,https://www.dansenshus.com,,https://instagram.com/dansenshusoslo,,active,FALSE,
src_029,NOTAM (Norwegian Centre for Technology in Music and the Arts),Institution,oslo,"sound,live_electronics",2,https://notam.no,,https://instagram.com/notamoslo,,active,FALSE,
src_030,Les Subsistances (Les Subs),Institution,lyon,interdisciplinary,2,https://www.les-subs.com,,https://instagram.com/les_subs,,active,FALSE,
