source_id,name,source_type,market,discipline_focus,tier,website_url,opencalls_url,instagram_url,scrape_method,status,needs_verification,notes
src_058,Artis (Israeli Contemporary Art Fund),Institution,tel_aviv,"painting,sculpture",2,https://artis.art,https://artis.art/grants_and_open_calls,,,active,FALSE,"Verified 2026-09-17: real nonprofit funding Israeli visual artists/curators. Runs rolling Residency Grants + Studio Partnership Program with quarterly review committees (Feb/May/Aug/Nov 2026 per site copy) — confirm exact review calendar before publishing a deadline."
src_059,WIENWOCHE (Festival für Kunst und Aktivismus),Institution,vienna,interdisciplinary,2,https://www.wienwoche.org,https://www.wienwoche.org/en/2026/open-call,,,active,FALSE,"Verified 2026-09-17 via direct fetch of the 2026 open call page. Biennial festival (next edition Sept 2027); open call is Vienna-based collectives/activist-art projects only, not a general international call."
src_060,Kunsthalle Exnergasse (kex) at WUK,Institution,vienna,"painting,sculpture",2,https://www.wuk.at/en/kunsthalle-exnergasse,https://www.wuk.at/en/kunsthalle-exnergasse/open-call/,,,active,TRUE,"Found 2026-09-17: WUK's kex space runs an annual exhibition-proposal open call, historically announced each January via newsletter/social media. Could not confirm from the page itself whether the 2026/27 cycle call has already been published — check directly before using a deadline."
src_061,Vienna Art Week,Institution,vienna,"painting,sculpture,interdisciplinary",2,https://www.viennaartweek.at,https://www.viennaartweek.at/en/open-call-open-studio-days-2026/,,,active,FALSE,"Verified 2026-09-17. Runs an annual 'Open Studio Days' call each spring (2026 cycle deadline 2026-05-10, already closed) ahead of the November festival week."
src_062,PART International Art Residency,Institution,vienna,interdisciplinary,2,https://www.partresidency.at,,,,active,TRUE,"Verified 2026-09-17 via artinfoland.com and partresidency.at. Curator-in-residence programme (2-month research residency + exhibition). 2026 cycle deadline was 2025-12-23, already closed; partresidency.at itself did not show a live call as of 2026-09-17 — recheck before use."
src_063,tranzit.org / ERSTE Foundation Artist-in-Residence (MuseumsQuartier Wien),Institution,vienna,"painting,sculpture",2,https://www.tranzit.org,https://www.tranzit.org/en/grants/artist+in+residence+vienna,,,active,TRUE,"Verified 2026-09-17. Annual AIR programme for critical contemporary visual art, restricted to artists/curators from Croatia, Czech Republic, Hungary, Romania, Slovakia, Slovenia (+ a Ukraine slot). 2026 cohort's call closed 2025-09-14 — precedent suggests the 2027-cohort call could open around Sept 2026; recheck tranzit.org immediately."
src_064,iMAL (Art Centre for Digital Cultures and Technology),Institution,brussels,"installation,interdisciplinary",2,https://www.imal.org,https://www.imal.org/en/events,,,active,TRUE,"Verified 2026-09-17. Runs multiple annual calls (Fellowship Programme, EMAP residencies, iPO project office). Fellowship 2026 deadline was 2026-04-19, already closed. EMAP 2026 residency deadline not confirmed on imal.org itself — application routes through call.emare.eu after registration."
src_065,WIELS Contemporary Art Centre,Institution,brussels,"painting,sculpture",2,https://wiels.org,https://wiels.org/en/residency-programme,,,active,TRUE,"Found 2026-09-17 via aggregators (Mondriaan Fund, Flanders Arts Institute, arte al dia) referencing 'WIELS Residencies 2027' calls, incl. a Belgium/Belgium-based-artist track. Could not independently confirm the exact deadline on wiels.org in this session — verify before use."
src_066,Youkobo Art Space,Institution,tokyo,"painting,sculpture,interdisciplinary",2,https://www.youkobo.co.jp,,,,active,FALSE,"Verified 2026-09-17 via transartists.org listing. Long-running (since 1989) Tokyo residency with an annual open call, deadline historically June 30. 2026 deadline already passed; recurring annual."
src_067,Künstlerhaus Bethanien,Institution,berlin,"painting,sculpture",2,https://bethanien.de,https://bethanien.de/en/application/,,,active,TRUE,"Found 2026-09-17. International Studio Programme; in most countries applications route through national partner organisations rather than a single open call to individuals — verify the exact mechanism for eligible markets before listing as a direct open_call."
src_068,Triangle Network,Network,remote,"painting,sculpture,interdisciplinary",3,https://www.trianglenetwork.org,,,,active,FALSE,"Verified 2026-09-17. Global network (est. 1982) of ~90 visual-arts organisations/workshops in 41 countries — the closest real equivalent to Aerowaves/EDN for visual art (painting/sculpture/mixed-media), not dance-specific. Aggregator/network, not a single institution with one call."
src_069,Res Artis,Network,remote,"painting,sculpture,interdisciplinary",3,https://resartis.org,https://resartis.org/open-calls/,,,active,FALSE,"Verified 2026-09-17. Largest global network/directory of artist residency centres across all media, including many painting/sculpture-specific programmes. Functions as an aggregator, not a single curated institution — useful as a source-of-sources, flagged for owner judgment on whether to list as a 'source' at all."
src_070,CCA Tel Aviv (Center for Contemporary Art),Institution,tel_aviv,"painting,sculpture,interdisciplinary",2,https://www.cca.org.il,,,,active,TRUE,"Checked 2026-09-17: no current open call found on cca.org.il. An archived 'Open Screening' open-call page exists (history.cca.org.il) but is dated/historic, not a live call."
src_071,Barbur Gallery,Institution,tel_aviv,"painting,sculpture,interdisciplinary",2,https://barbur.org,,,,active,TRUE,"Checked 2026-09-17: could not cleanly confirm a live open call. Note barbur.org returned unrelated/suspicious content on fetch — use barburgallery.org and verify manually before relying on this source; flagging rather than guessing."
